label,message,message_length,tokens,word_count
ham,fine if thats the way u feel thats the way its gota b,53,"['fine', 'if', 'thats', 'the', 'way', 'u', 'feel', 'thats', 'the', 'way', 'its', 'gota', 'b']",13
spam,england v macedonia dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txt120 poboxox36504w45wq 16,145,"['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'trywales', 'scotland', '4txt120', 'poboxox36504w45wq', '16']",23
ham,is that seriously how you spell his name,40,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']",8
ham,im going to try for 2 months ha ha only joking,46,"['im', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']",11
ham,so pay first lar then when is da stock comin,44,"['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']",10
ham,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,85,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']",20
ham,ffffffffff alright no way i can meet up with you sooner,55,"['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']",11
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,137,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'im', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'im', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']",28
ham,lol your always so convincing,29,"['lol', 'your', 'always', 'so', 'convincing']",5
ham,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,124,"['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']",28
ham,im back amp were packing the car now ill let you know if theres room,68,"['im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'ill', 'let', 'you', 'know', 'if', 'theres', 'room']",15
ham,ahhh work i vaguely remember that what does it feel like lol,60,"['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']",12
ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,126,"['wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']",26
ham,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you,181,"['yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', '2', 'but', 'we', 'wont', 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you']",41
ham,k tell me anything about you,28,"['k', 'tell', 'me', 'anything', 'about', 'you']",6
ham,for fear of fainting with the of all that housework you just did quick have a cuppa,83,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']",17
spam,thanks for your subscription to ringtone uk your mobile will be charged 5month please confirm by replying yes or no if you reply no you will not be charged,155,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', '5month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']",29
ham,yup ok i go home look at the timings then i msg again xuhui going to learn on 2nd may too but her lesson is at 8am,114,"['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'again', 'xuhui', 'going', 'to', 'learn', 'on', '2nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', '8am']",27
ham,oops ill let you know when my roommates done,44,"['oops', 'ill', 'let', 'you', 'know', 'when', 'my', 'roommates', 'done']",9
ham,i see the letter b on my car,28,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']",8
ham,anything lor u decide,21,"['anything', 'lor', 'u', 'decide']",4
ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,148,"['hello', 'hows', 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', 'youd', 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', 'im', 'trying', 'to', 'invite', 'myself', 'or', 'anything']",30
ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,79,"['pls', 'go', 'ahead', 'with', 'watts', 'i', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']",17
ham,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,121,"['did', 'i', 'forget', 'to', 'tell', 'you', 'i', 'want', 'you', 'i', 'need', 'you', 'i', 'crave', 'you', 'but', 'most', 'of', 'all', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']",28
spam,07732584351 rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now 08000930705 for delivery tomorrow,163,"['07732584351', 'rodger', 'burns', 'msg', 'we', 'tried', 'to', 'call', 'you', 're', 'your', 'reply', 'to', 'our', 'sms', 'for', 'a', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'now', '08000930705', 'for', 'delivery', 'tomorrow']",29
ham,who are you seeing,18,"['who', 'are', 'you', 'seeing']",4
ham,great i hope you like your man well endowed i am ltgt inches,60,"['great', 'i', 'hope', 'you', 'like', 'your', 'man', 'well', 'endowed', 'i', 'am', 'ltgt', 'inches']",13
ham,no callsmessagesmissed calls,28,"['no', 'callsmessagesmissed', 'calls']",3
ham,didnt you get hep b immunisation in nigeria,43,"['didnt', 'you', 'get', 'hep', 'b', 'immunisation', 'in', 'nigeria']",8
ham,fair enough anything going on,29,"['fair', 'enough', 'anything', 'going', 'on']",5
ham,yeah hopefully if tyler cant do it i could maybe ask around a bit,65,"['yeah', 'hopefully', 'if', 'tyler', 'cant', 'do', 'it', 'i', 'could', 'maybe', 'ask', 'around', 'a', 'bit']",14
ham,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,141,"['u', 'dont', 'know', 'how', 'stubborn', 'i', 'am', 'i', 'didnt', 'even', 'want', 'to', 'go', 'to', 'the', 'hospital', 'i', 'kept', 'telling', 'mark', 'im', 'not', 'a', 'weak', 'sucker', 'hospitals', 'are', 'for', 'weak', 'suckers']",30
ham,what you thinked about me first time you saw me in class,56,"['what', 'you', 'thinked', 'about', 'me', 'first', 'time', 'you', 'saw', 'me', 'in', 'class']",12
ham,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,110,"['a', 'gram', 'usually', 'runs', 'like', 'ltgt', 'a', 'half', 'eighth', 'is', 'smarter', 'though', 'and', 'gets', 'you', 'almost', 'a', 'whole', 'second', 'gram', 'for', 'ltgt']",22
ham,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,79,"['k', 'fyi', 'x', 'has', 'a', 'ride', 'early', 'tomorrow', 'morning', 'but', 'hes', 'crashing', 'at', 'our', 'place', 'tonight']",16
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,275,"['wow', 'i', 'never', 'realized', 'that', 'you', 'were', 'so', 'embarassed', 'by', 'your', 'accomodations', 'i', 'thought', 'you', 'liked', 'it', 'since', 'i', 'was', 'doing', 'the', 'best', 'i', 'could', 'and', 'you', 'always', 'seemed', 'so', 'happy', 'about', 'the', 'cave', 'im', 'sorry', 'i', 'didnt', 'and', 'dont', 'have', 'more', 'to', 'give', 'im', 'sorry', 'i', 'offered', 'im', 'sorry', 'your', 'room', 'was', 'so', 'embarassing']",55
spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,115,"['sms', 'ac', 'sptv', 'the', 'new', 'jersey', 'devils', 'and', 'the', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'or', 'incorrect', 'end', 'reply', 'end', 'sptv']",22
ham,do you know what mallika sherawat did yesterday find out now lturlgt,68,"['do', 'you', 'know', 'what', 'mallika', 'sherawat', 'did', 'yesterday', 'find', 'out', 'now', 'lturlgt']",12
spam,congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out,148,"['congrats', '1', 'year', 'special', 'cinema', 'pass', 'for', '2', 'is', 'yours', 'call', '09061209465', 'now', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', 'all', '4', 'free', 'bx420ip45we', '150pm', 'dont', 'miss', 'out']",27
ham,sorry ill call later in meeting,31,"['sorry', 'ill', 'call', 'later', 'in', 'meeting']",6
ham,tell where you reached,22,"['tell', 'where', 'you', 'reached']",4
ham,yesgauti and sehwag out of odi series,37,"['yesgauti', 'and', 'sehwag', 'out', 'of', 'odi', 'series']",7
ham,your gonna have to pick up a 1 burger for yourself on your way home i cant even move pain is killing me,103,"['your', 'gonna', 'have', 'to', 'pick', 'up', 'a', '1', 'burger', 'for', 'yourself', 'on', 'your', 'way', 'home', 'i', 'cant', 'even', 'move', 'pain', 'is', 'killing', 'me']",23
ham,ha ha ha good joke girls are situation seekers,46,"['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'are', 'situation', 'seekers']",9
ham,its a part of checking iq,25,"['its', 'a', 'part', 'of', 'checking', 'iq']",6
ham,sorry my roommates took forever it ok if i come by now,54,"['sorry', 'my', 'roommates', 'took', 'forever', 'it', 'ok', 'if', 'i', 'come', 'by', 'now']",12
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,108,"['ok', 'lar', 'i', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'he', 'said', 'wun', 'cut', 'v', 'short', 'he', 'said', 'will', 'cut', 'until', 'i', 'look', 'nice']",24
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589,148,"['as', 'a', 'valued', 'customer', 'i', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'mob', 'no', 'you', 'are', 'awarded', 'with', 'a', '1500', 'bonus', 'prize', 'call', '09066364589']",28
ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,114,"['today', 'is', 'song', 'dedicated', 'day', 'which', 'song', 'will', 'u', 'dedicate', 'for', 'me', 'send', 'this', 'to', 'all', 'ur', 'valuable', 'frnds', 'but', 'first', 'rply', 'me']",23
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or 1000 to claim txt dis to 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj,147,"['urgent', 'ur', 'awarded', 'a', 'complimentary', 'trip', 'to', 'eurodisinc', 'trav', 'acoentry41', 'or', '1000', 'to', 'claim', 'txt', 'dis', 'to', '87121', '186150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj']",22
spam,did you hear about the new divorce barbie it comes with all of kens stuff,73,"['did', 'you', 'hear', 'about', 'the', 'new', 'divorce', 'barbie', 'it', 'comes', 'with', 'all', 'of', 'kens', 'stuff']",15
ham,i plane to give on this month end,33,"['i', 'plane', 'to', 'give', 'on', 'this', 'month', 'end']",8
ham,wah lucky man then can save money hee,37,"['wah', 'lucky', 'man', 'then', 'can', 'save', 'money', 'hee']",8
ham,finished class where are you,28,"['finished', 'class', 'where', 'are', 'you']",5
ham,hi babe im at home now wanna do something xx,44,"['hi', 'babe', 'im', 'at', 'home', 'now', 'wanna', 'do', 'something', 'xx']",10
ham,kkwhere are youhow did you performed,36,"['kkwhere', 'are', 'youhow', 'did', 'you', 'performed']",6
ham,u can call me now,17,"['u', 'can', 'call', 'me', 'now']",5
ham,i am waiting machan call me once you free,41,"['i', 'am', 'waiting', 'machan', 'call', 'me', 'once', 'you', 'free']",9
ham,thats cool i am a gentleman and will treat you with dignity and respect,71,"['thats', 'cool', 'i', 'am', 'a', 'gentleman', 'and', 'will', 'treat', 'you', 'with', 'dignity', 'and', 'respect']",14
ham,i like you peoples very much but am very shy pa,47,"['i', 'like', 'you', 'peoples', 'very', 'much', 'but', 'am', 'very', 'shy', 'pa']",11
ham,does not operate after ltgt or what,35,"['does', 'not', 'operate', 'after', 'ltgt', 'or', 'what']",7
ham,its not the same here still looking for a job how much do tas earn there,72,"['its', 'not', 'the', 'same', 'here', 'still', 'looking', 'for', 'a', 'job', 'how', 'much', 'do', 'tas', 'earn', 'there']",16
ham,sorry ill call later,20,"['sorry', 'ill', 'call', 'later']",4
ham,k did you call me just now ah,29,"['k', 'did', 'you', 'call', 'me', 'just', 'now', 'ah']",8
ham,ok i am on the way to home hi hi,32,"['ok', 'i', 'am', 'on', 'the', 'way', 'to', 'home', 'hi', 'hi']",10
ham,you will be in the place of that man,36,"['you', 'will', 'be', 'in', 'the', 'place', 'of', 'that', 'man']",9
ham,yup next stop,13,"['yup', 'next', 'stop']",3
ham,i call you later dont have network if urgnt sms me,50,"['i', 'call', 'you', 'later', 'dont', 'have', 'network', 'if', 'urgnt', 'sms', 'me']",11
ham,for real when u getting on yo i only need 2 more tickets and one more jacket and im done i already used all my multis,117,"['for', 'real', 'when', 'u', 'getting', 'on', 'yo', 'i', 'only', 'need', '2', 'more', 'tickets', 'and', 'one', 'more', 'jacket', 'and', 'im', 'done', 'i', 'already', 'used', 'all', 'my', 'multis']",26
ham,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,140,"['yes', 'i', 'started', 'to', 'send', 'requests', 'to', 'make', 'it', 'but', 'pain', 'came', 'back', 'so', 'im', 'back', 'in', 'bed', 'double', 'coins', 'at', 'the', 'factory', 'too', 'i', 'gotta', 'cash', 'in', 'all', 'my', 'nitros']",31
ham,im really not up to it still tonight babe,41,"['im', 'really', 'not', 'up', 'to', 'it', 'still', 'tonight', 'babe']",9
ham,ela kanoil download come wen ur free,36,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",7
ham,yeah do dont stand to close tho youll catch something,53,"['yeah', 'do', 'dont', 'stand', 'to', 'close', 'tho', 'youll', 'catch', 'something']",10
ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuff42moro and that includes all my time sheets and that sorry,189,"['sorry', 'to', 'be', 'a', 'pain', 'is', 'it', 'ok', 'if', 'we', 'meet', 'another', 'night', 'i', 'spent', 'late', 'afternoon', 'in', 'casualty', 'and', 'that', 'means', 'i', 'havent', 'done', 'any', 'of', 'y', 'stuff42moro', 'and', 'that', 'includes', 'all', 'my', 'time', 'sheets', 'and', 'that', 'sorry']",39
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,139,"['smile', 'in', 'pleasure', 'smile', 'in', 'pain', 'smile', 'when', 'trouble', 'pours', 'like', 'rain', 'smile', 'when', 'sum1', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'to', 'see', 'u', 'smiling']",26
spam,please call our customer service representative on 0800 169 6031 between 10am9pm as you have won a guaranteed 1000 cash or 5000 prize,133,"['please', 'call', 'our', 'customer', 'service', 'representative', 'on', '0800', '169', '6031', 'between', '10am9pm', 'as', 'you', 'have', 'won', 'a', 'guaranteed', '1000', 'cash', 'or', '5000', 'prize']",23
ham,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already,104,"['havent', 'planning', 'to', 'buy', 'later', 'i', 'check', 'already', 'lido', 'only', 'got', '530', 'show', 'in', 'e', 'afternoon', 'u', 'finish', 'work', 'already']",20
spam,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16,150,"['your', 'free', 'ringtone', 'is', 'waiting', 'to', 'be', 'collected', 'simply', 'text', 'the', 'password', 'mix', 'to', '85069', 'to', 'verify', 'get', 'usher', 'and', 'britney', 'fml', 'po', 'box', '5249', 'mk17', '92h', '450ppw', '16']",29
ham,watching telugu moviewat abt u,30,"['watching', 'telugu', 'moviewat', 'abt', 'u']",5
ham,i see when we finish we have loads of loans to pay,50,"['i', 'see', 'when', 'we', 'finish', 'we', 'have', 'loads', 'of', 'loans', 'to', 'pay']",12
ham,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,170,"['hi', 'wk', 'been', 'ok', 'on', 'hols', 'now', 'yes', 'on', 'for', 'a', 'bit', 'of', 'a', 'run', 'forgot', 'that', 'i', 'have', 'hairdressers', 'appointment', 'at', 'four', 'so', 'need', 'to', 'get', 'home', 'n', 'shower', 'beforehand', 'does', 'that', 'cause', 'prob', 'for', 'u']",37
ham,i see a cup of coffee animation,31,"['i', 'see', 'a', 'cup', 'of', 'coffee', 'animation']",7
ham,please dont text me anymore i have nothing else to say,54,"['please', 'dont', 'text', 'me', 'anymore', 'i', 'have', 'nothing', 'else', 'to', 'say']",11
ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,79,"['okay', 'name', 'ur', 'price', 'as', 'long', 'as', 'its', 'legal', 'wen', 'can', 'i', 'pick', 'them', 'up', 'y', 'u', 'ave', 'x', 'ams', 'xx']",21
ham,im still looking for a car to buy and have not gone 4the driving test yet,73,"['im', 'still', 'looking', 'for', 'a', 'car', 'to', 'buy', 'and', 'have', 'not', 'gone', '4the', 'driving', 'test', 'yet']",16
ham,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,175,"['wow', 'youre', 'right', 'i', 'didnt', 'mean', 'to', 'do', 'that', 'i', 'guess', 'once', 'i', 'gave', 'up', 'on', 'boston', 'men', 'and', 'changed', 'my', 'search', 'location', 'to', 'nyc', 'something', 'changed', 'cuz', 'on', 'my', 'signin', 'page', 'it', 'still', 'says', 'boston']",36
ham,umma my life and vava umma love you lot dear,44,"['umma', 'my', 'life', 'and', 'vava', 'umma', 'love', 'you', 'lot', 'dear']",10
ham,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,93,"['thanks', 'a', 'lot', 'for', 'your', 'wishes', 'on', 'my', 'birthday', 'thanks', 'you', 'for', 'making', 'my', 'birthday', 'truly', 'memorable']",17
ham,aight ill hit you up when i get some cash,41,"['aight', 'ill', 'hit', 'you', 'up', 'when', 'i', 'get', 'some', 'cash']",10
ham,how would my ip address test that considering my computer isnt a minecraft server,81,"['how', 'would', 'my', 'ip', 'address', 'test', 'that', 'considering', 'my', 'computer', 'isnt', 'a', 'minecraft', 'server']",14
ham,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,109,"['i', 'know', 'grumpy', 'old', 'people', 'my', 'mom', 'was', 'like', 'you', 'better', 'not', 'be', 'lying', 'then', 'again', 'i', 'am', 'always', 'the', 'one', 'to', 'play', 'jokes']",24
ham,dont worry i guess hes busy,27,"['dont', 'worry', 'i', 'guess', 'hes', 'busy']",6
ham,what is the plural of the noun research,39,"['what', 'is', 'the', 'plural', 'of', 'the', 'noun', 'research']",8
ham,going for dinnermsg you after,29,"['going', 'for', 'dinnermsg', 'you', 'after']",5
ham,im ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,92,"['im', 'ok', 'wif', 'it', 'cos', 'i', 'like', '2', 'try', 'new', 'things', 'but', 'i', 'scared', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'not', 'too', 'loud']",24
spam,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,151,"['gent', 'we', 'are', 'trying', 'to', 'contact', 'you', 'last', 'weekends', 'draw', 'shows', 'that', 'you', 'won', 'a', '1000', 'prize', 'guaranteed', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', 'only', '150ppm']",27
ham,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,128,"['wa', 'ur', 'openin', 'sentence', 'very', 'formal', 'anyway', 'im', 'fine', 'too', 'juz', 'tt', 'im', 'eatin', 'too', 'much', 'n', 'puttin', 'on', 'weighthaha', 'so', 'anythin', 'special', 'happened']",24
ham,as i entered my cabin my pa said happy bday boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,141,"['as', 'i', 'entered', 'my', 'cabin', 'my', 'pa', 'said', 'happy', 'bday', 'boss', 'i', 'felt', 'special', 'she', 'askd', 'me', '4', 'lunch', 'after', 'lunch', 'she', 'invited', 'me', 'to', 'her', 'apartment', 'we', 'went', 'there']",30
spam,you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18,143,"['you', 'are', 'a', 'winner', 'u', 'have', 'been', 'specially', 'selected', '2', 'receive', '1000', 'or', 'a', '4', 'holiday', 'flights', 'inc', 'speak', 'to', 'a', 'live', 'operator', '2', 'claim', '0871277810910pmin', '18']",27
ham,goodo yes we must speak friday eggpotato ratio for tortilla needed,66,"['goodo', 'yes', 'we', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'for', 'tortilla', 'needed']",11
ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food,80,"['hmmmy', 'uncle', 'just', 'informed', 'me', 'that', 'hes', 'paying', 'the', 'school', 'directly', 'so', 'pls', 'buy', 'food']",15
spam,private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires,141,"['private', 'your', '2004', 'account', 'statement', 'for', '07742676969', 'shows', '786', 'unredeemed', 'bonus', 'points', 'to', 'claim', 'call', '08719180248', 'identifier', 'code', '45239', 'expires']",20
